Tn(sec) V(m/sec)
0.031623 0.032905
0.032359 0.033759
0.033113 0.034628
0.033884 0.035509
0.034674 0.036391
0.035481 0.03727
0.036308 0.038147
0.037154 0.039039
0.038019 0.039987
0.038905 0.041046
0.039811 0.042262
0.040738 0.043646
0.041687 0.045163
0.042658 0.046783
0.043652 0.048558
0.044668 0.050559
0.045709 0.052742
0.046774 0.054932
0.047863 0.056945
0.048978 0.058686
0.050119 0.060153
0.051286 0.062363
0.052481 0.064965
0.053703 0.067466
0.054954 0.069755
0.056234 0.071643
0.057544 0.072898
0.058884 0.075067
0.060256 0.077579
0.06166 0.079262
0.063096 0.080434
0.064565 0.081967
0.066069 0.085583
0.067608 0.089116
0.069183 0.092492
0.070795 0.095728
0.072444 0.099013
0.074131 0.103457
0.075858 0.107378
0.077625 0.110705
0.079433 0.113779
0.081283 0.116883
0.083176 0.120155
0.085114 0.124037
0.087096 0.128988
0.089125 0.1348
0.091201 0.140819
0.093325 0.146776
0.095499 0.152888
0.097724 0.159385
0.1 0.166273
0.102329 0.173287
0.104713 0.18023
0.107152 0.18758
0.109648 0.196393
0.112202 0.207263
0.114815 0.219755
0.11749 0.237437
0.120226 0.253845
0.123027 0.277559
0.125893 0.300892
0.128825 0.319764
0.131826 0.337753
0.134896 0.360113
0.138038 0.373166
0.141254 0.384196
0.144544 0.404388
0.147911 0.421981
0.151356 0.437496
0.154882 0.465062
0.158489 0.482949
0.162181 0.502067
0.165959 0.513193
0.169824 0.515391
0.17378 0.511174
0.177828 0.529832
0.18197 0.549153
0.186209 0.553613
0.190546 0.545754
0.194984 0.53187
0.199526 0.501094
0.204174 0.474438
0.20893 0.496353
0.213796 0.512002
0.218776 0.522872
0.223872 0.513181
0.229087 0.493108
0.234423 0.490089
0.239883 0.476942
0.245471 0.463264
0.251189 0.445519
0.25704 0.449605
0.263027 0.445288
0.269153 0.433447
0.275423 0.414557
0.281838 0.40075
0.288403 0.386216
0.295121 0.395045
0.301995 0.411997
0.30903 0.435845
0.316228 0.462843
0.323594 0.488734
0.331131 0.514956
0.338844 0.533984
0.346737 0.542337
0.354813 0.540375
0.363078 0.52472
0.371535 0.506979
0.380189 0.490167
0.389045 0.483926
0.398107 0.491157
0.40738 0.513899
0.416869 0.552117
0.42658 0.600163
0.436516 0.633108
0.446684 0.646663
0.457088 0.643936
0.467735 0.628832
0.47863 0.605477
0.489779 0.580811
0.501187 0.555429
0.512861 0.531588
0.524807 0.511173
0.537032 0.487895
0.549541 0.491285
0.562341 0.492143
