Tn(sec) V(m/sec)
0.031623 0.032955
0.032359 0.033883
0.033113 0.034866
0.033884 0.035815
0.034674 0.037043
0.035481 0.037942
0.036308 0.037038
0.037154 0.044757
0.038019 0.062999
0.038905 0.047871
0.039811 0.084179
0.040738 0.092222
0.041687 0.082721
0.042658 0.088587
0.043652 0.084433
0.044668 0.103263
0.045709 0.090961
0.046774 0.126581
0.047863 0.10028
0.048978 0.097241
0.050119 0.108593
0.051286 0.12731
0.052481 0.196941
0.053703 0.15662
0.054954 0.158254
0.056234 0.11327
0.057544 0.343799
0.058884 0.29224
0.060256 0.150032
0.06166 0.179022
0.063096 0.166329
0.064565 0.446163
0.066069 0.279585
0.067608 0.388231
0.069183 0.591258
0.070795 0.484712
0.072444 0.193912
0.074131 0.375827
0.075858 0.489665
0.077625 0.435825
0.079433 0.327708
0.081283 0.442472
0.083176 0.453019
0.085114 0.664227
0.087096 1.166636
0.089125 0.669935
0.091201 0.879036
0.093325 0.423376
0.095499 0.810608
0.097724 0.530227
0.1 0.747975
0.102329 0.37582
0.104713 0.449962
0.107152 0.639452
0.109648 0.908382
0.112202 1.001114
0.114815 0.991943
0.11749 1.125257
0.120226 0.936477
0.123027 1.630951
0.125893 0.723428
0.128825 1.377553
0.131826 1.57666
0.134896 1.507143
0.138038 2.233716
0.141254 1.541235
0.144544 3.233907
0.147911 3.336877
0.151356 3.401847
0.154882 2.724182
0.158489 2.880375
0.162181 2.738325
0.165959 6.220685
0.169824 3.744151
0.17378 4.728841
0.177828 3.273639
0.18197 2.908486
0.186209 3.380118
0.190546 4.118044
0.194984 4.132781
0.199526 7.458815
0.204174 3.291362
0.20893 4.637999
0.213796 3.324639
0.218776 5.42059
0.223872 2.703095
0.229087 3.004213
0.234423 3.659737
0.239883 2.797227
0.245471 4.448005
0.251189 2.051158
0.25704 1.218002
0.263027 1.963796
0.269153 3.499598
0.275423 2.634182
0.281838 3.035268
0.288403 1.520803
0.295121 1.375098
0.301995 4.138303
0.30903 1.848257
0.316228 1.514462
0.323594 1.23753
0.331131 3.252955
0.338844 3.124601
0.346737 6.517396
0.354813 3.342776
0.363078 2.289593
0.371535 4.240426
0.380189 1.889147
0.389045 2.701755
0.398107 1.97875
0.40738 2.580364
0.416869 3.557693
0.42658 5.230886
0.436516 4.423812
0.446684 4.232973
0.457088 2.928091
0.467735 1.426934
0.47863 3.339278
0.489779 3.204702
0.501187 3.511588
0.512861 2.141418
0.524807 2.022881
0.537032 3.51748
0.549541 4.85666
0.562341 4.733191
0.57544 2.95758
0.588844 1.667987
0.60256 2.800458
0.616595 1.832605
0.630957 2.25397
0.645654 1.470992
0.660693 3.039443
0.676083 3.524088
0.691831 2.148781
0.707946 1.206529
0.724436 2.480417
0.74131 2.590268
0.758578 2.65386
0.776247 2.183569
0.794328 1.473404
0.812831 3.286635
0.831764 1.849738
0.851138 2.068408
0.870964 3.432386
0.891251 2.236599
0.912011 1.493372
0.933254 2.054685
0.954993 0.99896
0.977237 2.121832
1 1.437458
1.023293 2.013483
