  Tn(sec) V(m/sec)
0.031623 0.032953
0.032359 0.033830
0.033113 0.034729
0.033884 0.035641
0.034674 0.036543
0.035481 0.037390
0.036308 0.038143
0.037154 0.038800
0.038019 0.039390
0.038905 0.040173
0.039811 0.041309
0.040738 0.042921
0.041687 0.044942
0.042658 0.056273
0.043652 0.047611
0.044668 0.050056
0.045709 0.053698
0.046774 0.057256
0.047863 0.059854
0.048978 0.061850
0.050119 0.062712
0.051286 0.065373
0.052481 0.098559
0.053703 0.072101
0.054954 0.075820
0.056234 0.079274
0.057544 0.081824
0.058884 0.083395
0.060256 0.086152
0.061660 0.085462
0.063096 0.083687
0.064565 0.083747
0.066069 0.091182
0.067608 0.095985
0.069183 0.097013
0.070795 0.101482
0.072444 0.106600
0.074131 0.110543
0.075858 0.115639
0.077625 0.114992
0.079433 0.115892
0.081283 0.120572
0.083176 0.130283
0.085114 0.119513
0.087096 0.125883
0.089125 0.150713
0.091201 0.133735
0.093325 0.151771
0.095499 0.157074
0.097724 0.165943
0.100000 0.173630
0.102329 0.184651
0.104713 0.195653
0.107152 0.210206
0.109648 0.229013
0.112202 0.230368
0.114815 0.253393
0.117490 0.284937
0.120226 0.326708
0.123027 0.355954
0.125893 0.378802
0.128825 0.420774
0.131826 0.461998
0.134896 0.492315
0.138038 0.497280
0.141254 0.974761
0.144544 0.487155
0.147911 0.537421
0.151356 0.580243
0.154882 0.616454
0.158489 0.672308
0.162181 0.735365
0.165959 0.800252
0.169824 0.814221
0.173780 0.827647
0.177828 0.838700
0.181970 0.869192
0.186209 0.871732
0.190546 0.861279
0.194984 0.816018
0.199526 0.715014
0.204174 0.688344
0.208930 0.698813
0.213796 0.760396
0.218776 0.806989
0.223872 0.848133
0.229087 0.806799
0.234423 0.669158
0.239883 0.698627
0.245471 0.667237
0.251189 0.615920
0.257040 0.630166
0.263027 0.632294
0.269153 0.584431
0.275423 0.518116
0.281838 0.539289
0.288403 0.546912
0.295121 0.517835
0.301995 0.565066
0.309030 0.593966
0.316228 0.606225
0.323594 0.621588
0.331131 0.663957
0.338844 0.707343
0.346737 0.730192
0.354813 0.720009
0.363078 0.663740
0.371535 0.664054
0.380189 0.687075
0.389045 0.717438
0.398107 0.758373
0.407380 0.820634
0.416869 0.924868
0.426580 0.984652
0.436516 0.970530
0.446684 0.954893
0.457088 0.920358
0.467735 0.859183
0.478630 0.843451
0.489779 0.837869
0.501187 0.813041
0.512861 0.740959
0.524807 0.655562
0.537032 0.690927
0.549541 0.701011
0.562341 0.666761
0.575440 0.647486
0.588844 0.629311
0.602560 0.590178
0.616595 0.553381
0.630957 0.510035
0.645654 0.507893
0.660693 0.487585
0.676083 0.498301
0.691831 0.621418
0.707946 0.700518
0.724436 0.739513
0.741310 0.717772
0.758578 0.650832
0.776247 0.593694
0.794328 0.571016
0.812831 0.566818
0.831764 0.610834
0.851138 0.633683
0.870964 0.681814
0.891251 0.668437
0.912011 0.604591
0.933254 0.594549
0.954993 0.630207
0.977237 0.678594
1.000000 0.705452
1.023293 0.686508
1.047129 0.653302
1.071519 0.572886
1.096478 0.507510
1.122018 0.475289
1.148154 0.472074
1.174898 0.510912
1.202264 0.559354
1.230269 0.612610
1.258925 0.669185
1.288250 0.719915
1.318257 0.749042
1.348963 0.796253
1.380384 0.825294
1.412538 0.818629
1.445440 0.760322
1.479108 0.662345
1.513561 0.604452
1.548817 0.543842
1.584893 0.554222
1.621810 0.546056
1.659587 0.533905
1.698244 0.510068
1.737801 0.475629
